Year,Solar (TWh),Wind (TWh),Hydro (TWh),Bioenergy (TWh),Nuclear (TWh) ,Other fossil (TWh),Gas (TWh),Coal (TWh)
2015,100.2,263.28,336.0,149.37,786.69,127.87,394.84,705.03
2016,100.49,266.91,345.6,151.09,767.95,128.2,464.77,659.16
2017,106.58,312.43,294.34,153.64,759.4,126.88,523.62,638.86
2018,114.13,320.76,343.84,155.46,761.94,120.86,488.95,595.54
2019,124.38,367.29,320.29,159.65,765.34,110.91,568.62,450.79
2020,144.72,398.16,347.09,162.59,683.51,97.76,559.7,352.33
2021,163.05,386.94,348.25,171.56,731.71,100.41,547.04,419.0
2022,209.76,421.83,276.11,165.27,609.26,105.87,533.95,448.43
2023,254.04,478.06,330.44,156.84,619.6,91.08,454.82,318.59
2024,307.26,491.18,369.68,156.85,649.55,89.11,431.23,271.83
2025,366.38,479.04,326.62,158.02,652.01,82.25,469.8,256.86
