Year,Coal (%),Gas (%),Hydro (%),Wind_Solar (%),Other_Renewables (%),Other_Fossil (%)
2000,30.7,37.0,24.8,0.0,0.4,7.1
2001,31.9,40.9,19.6,0.1,0.4,7.1
2002,25.0,41.2,25.0,0.1,0.4,8.3
2003,24.0,45.4,24.8,0.1,0.4,5.3
2004,23.9,41.8,30.9,0.1,0.5,2.8
2005,27.7,45.5,24.8,0.1,0.5,1.4
2006,27.4,46.0,25.4,0.1,0.5,0.6
2007,28.8,49.6,18.9,0.2,0.5,2.0
2008,29.8,49.7,16.8,0.5,0.5,2.7
2009,28.6,48.6,18.6,0.8,0.5,2.9
2010,26.1,46.0,24.5,1.4,0.6,1.4
2011,28.8,45.4,22.8,2.1,0.6,0.3
2012,28.4,43.6,24.2,2.6,0.8,0.4
2013,26.6,43.8,24.7,3.1,1.2,0.6
2014,30.2,47.9,16.1,3.5,1.5,0.8
2015,29.1,37.9,25.6,4.6,1.8,1.0
2016,33.7,32.5,24.7,6.1,2.2,0.8
2017,32.8,37.2,19.6,7.9,2.3,0.2
2018,37.3,29.8,19.8,10.1,2.8,0.2
2019,37.5,18.9,29.2,11.8,2.5,0.1
2020,34.5,22.8,25.6,13.0,4.0,0.1
2021,31.4,32.7,16.8,14.3,4.7,0.1
2022,34.6,22.2,20.6,15.4,7.1,0.1
2023,36.3,21.4,19.6,16.3,6.3,0.1
2024,35.3,20.1,22.6,18.9,3.0,0.1
2025,34.2,22.1,17.6,22.0,4.0,0.1
