Country,Total_Renewables (%),Hydro (%),Wind (%),Solar (%)
Norway,98.4,89.6,7.9,0.2
Denmark,91.0,0.0,58.0,25.0
Austria,84.5,52.7,13.8,15.0
Portugal,80.6,31.5,29.5,13.8
Sweden,72.0,40.6,27.2,2.9
Switzerland,67.2,54.5,0.5,10.3
Germany,58.5,3.8,31.4,16.2
Finland,56.2,14.8,29.7,1.3
Spain,56.1,13.5,24.5,16.6
United Kingdom,52.4,1.7,33.3,4.8
Netherlands,51.2,0.1,28.9,17.8
Greece,50.1,5.7,22.0,21.9
Italy,48.3,15.6,9.8,15.4
Ireland,47.8,2.3,39.0,5.2
Romania,47.2,25.1,13.8,7.7
Turkey,42.7,17.6,11.8,10.2
Belgium,39.0,0.5,22.1,13.1
Hungary,35.3,0.4,1.5,26.0
Bulgaria,33.4,7.3,4.4,19.4
Poland,30.5,0.9,15.5,10.8
Serbia,27.0,22.2,4.3,0.1
France,25.9,10.8,8.8,5.4
Slovakia,19.7,12.8,0.0,2.8
Czechia,18.0,3.1,1.2,6.0
