Country,Operational Capacity (GW),Project Pipeline (GW),Total Battery Capacity (GW),Battery to Wind and Solar Ratio (%)
Türkiye,0.1,33.0,33.1,0.822
Germany,2.7,10.6,13.3,0.119
Italy,1.9,10.3,12.1,0.515
Poland,0.0,10.4,10.4,0.518
Romania,0.4,4.7,5.1,0.887
Spain,0.2,4.1,4.3,0.059
Netherlands,0.3,3.2,3.5,0.182
Belgium,0.3,2.9,3.3,0.529
Ireland,0.8,1.8,2.6,0.44
Sweden,0.7,1.6,2.3,0.122
Greece,0.0,2.1,2.1,0.0
Portugal,0.0,1.7,1.7,0.175
Bulgaria,0.5,1.1,1.6,0.386
Finland,0.3,1.0,1.3,0.145
France,0.4,0.6,1.0,0.026
Lithuania,0.1,0.8,0.9,0.317
