entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
EU,,TRUE,2015,Bioenergy,FALSE,149.37,5.2,336.49,5.12,3.55,0.1,10.84
EU,,TRUE,2015,Coal,FALSE,705.03,24.56,1588.22,12.25,1.77,0.03,24.26
EU,,TRUE,2015,Gas,FALSE,394.84,13.76,889.46,39.43,11.09,1.17,87.11
EU,,TRUE,2015,Hydro,FALSE,336,11.71,756.91,-34.06,-9.2,-1.4,-78.51
EU,,TRUE,2015,Nuclear,FALSE,786.69,27.41,1772.18,-25.88,-3.18,-1.37,-62.21
EU,,TRUE,2015,Other fossil,FALSE,127.87,4.46,288.05,1.88,1.49,-0.01,3.63
EU,,TRUE,2015,Other renewables,FALSE,7.09,0.25,15.97,0.3,4.42,0.01,0.64
EU,,TRUE,2015,Solar,FALSE,100.2,3.49,225.72,6.6,7.05,0.18,14.42
EU,,TRUE,2015,Total generation,TRUE,2870.37,100,6466.1,46.46,1.64,0,91.08
EU,,TRUE,2015,Wind,FALSE,263.28,9.17,593.09,40.82,18.35,1.29,90.88
EU,,TRUE,2016,Bioenergy,FALSE,151.09,5.22,339.6,1.72,1.15,0.02,3.11
EU,,TRUE,2016,Coal,FALSE,659.16,22.8,1481.55,-45.87,-6.51,-1.76,-106.67
EU,,TRUE,2016,Gas,FALSE,464.77,16.07,1044.63,69.93,17.71,2.32,155.18
EU,,TRUE,2016,Hydro,FALSE,345.6,11.95,776.78,9.6,2.86,0.25,19.88
EU,,TRUE,2016,Nuclear,FALSE,767.95,26.56,1726.07,-18.74,-2.38,-0.85,-46.11
EU,,TRUE,2016,Other fossil,FALSE,128.2,4.43,288.15,0.33,0.26,-0.02,0.09
EU,,TRUE,2016,Other renewables,FALSE,7.23,0.25,16.25,0.14,1.98,0,0.28
EU,,TRUE,2016,Solar,FALSE,100.49,3.48,225.86,0.29,0.29,-0.02,0.14
EU,,TRUE,2016,Total generation,TRUE,2891.4,100,6498.82,21.03,0.73,0,32.72
EU,,TRUE,2016,Wind,FALSE,266.91,9.23,599.92,3.63,1.38,0.06,6.82
EU,,TRUE,2017,Bioenergy,FALSE,153.64,5.26,344.72,2.55,1.69,0.03,5.12
EU,,TRUE,2017,Coal,FALSE,638.86,21.86,1433.4,-20.3,-3.08,-0.94,-48.16
EU,,TRUE,2017,Gas,FALSE,523.62,17.91,1174.84,58.85,12.66,1.84,130.2
EU,,TRUE,2017,Hydro,FALSE,294.34,10.07,660.4,-51.26,-14.83,-1.88,-116.38
EU,,TRUE,2017,Nuclear,FALSE,759.4,25.98,1703.85,-8.55,-1.11,-0.58,-22.22
EU,,TRUE,2017,Other fossil,FALSE,126.88,4.34,284.68,-1.32,-1.03,-0.09,-3.47
EU,,TRUE,2017,Other renewables,FALSE,7.23,0.25,16.22,0,0,0,-0.03
EU,,TRUE,2017,Solar,FALSE,106.58,3.65,239.13,6.09,6.06,0.17,13.27
EU,,TRUE,2017,Total generation,TRUE,2922.98,100,6558.23,31.58,1.09,0,59.41
EU,,TRUE,2017,Wind,FALSE,312.43,10.69,700.99,45.52,17.05,1.46,101.08
EU,,TRUE,2018,Bioenergy,FALSE,155.46,5.34,348.17,1.82,1.18,0.09,3.45
EU,,TRUE,2018,Coal,FALSE,595.54,20.48,1333.78,-43.32,-6.78,-1.38,-99.61
EU,,TRUE,2018,Gas,FALSE,488.95,16.81,1095.06,-34.67,-6.62,-1.1,-79.77
EU,,TRUE,2018,Hydro,FALSE,343.84,11.82,770.07,49.5,16.82,1.75,109.67
EU,,TRUE,2018,Nuclear,FALSE,761.94,26.2,1706.46,2.54,0.33,0.22,2.61
EU,,TRUE,2018,Other fossil,FALSE,120.86,4.16,270.68,-6.02,-4.74,-0.19,-14
EU,,TRUE,2018,Other renewables,FALSE,7.14,0.24,15.99,-0.09,-1.25,0,-0.23
EU,,TRUE,2018,Solar,FALSE,114.13,3.92,255.61,7.55,7.08,0.28,16.48
EU,,TRUE,2018,Total generation,TRUE,2908.62,100,6514.21,-14.36,-0.49,0,-44.01
EU,,TRUE,2018,Wind,FALSE,320.76,11.03,718.38,8.33,2.67,0.34,17.39
EU,,TRUE,2019,Bioenergy,FALSE,159.65,5.55,356.86,4.19,2.7,0.21,8.69
EU,,TRUE,2019,Coal,FALSE,450.79,15.68,1007.65,-144.75,-24.31,-4.79,-326.14
