entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,capacity_gw,capacity_share_pct,capacity_yoy_change_gw,capacity_yoy_change_pct,capacity_share_yoy_change_pct_points,capacity_gw_prev,
Türkiye,TUR,FALSE,2015,Solar,FALSE,0.25,0.37,0.21,525,0.3,0.04,
Türkiye,TUR,FALSE,2015,Wind,FALSE,4.5,6.58,0.87,23.97,0.9,3.63,
Türkiye,TUR,FALSE,2015,Wind and solar,TRUE,4.75,6.95,1.08,29.43,1.2,3.67,
Türkiye,TUR,FALSE,2016,Solar,FALSE,0.83,1.12,0.58,232,0.75,0.25,
Türkiye,TUR,FALSE,2016,Wind,FALSE,5.75,7.73,1.25,27.78,1.15,4.5,
Türkiye,TUR,FALSE,2016,Wind and solar,TRUE,6.58,8.84,1.83,38.53,1.9,4.75,
Türkiye,TUR,FALSE,2017,Solar,FALSE,3.42,4.15,2.59,312.05,3.03,0.83,
Türkiye,TUR,FALSE,2017,Wind,FALSE,6.52,7.91,0.77,13.39,0.19,5.75,
Türkiye,TUR,FALSE,2017,Wind and solar,TRUE,9.94,12.06,3.36,51.06,3.22,6.58,
Türkiye,TUR,FALSE,2018,Solar,FALSE,5.06,5.8,1.64,47.95,1.65,3.42,
Türkiye,TUR,FALSE,2018,Wind,FALSE,7.01,8.03,0.49,7.52,0.12,6.52,
Türkiye,TUR,FALSE,2018,Wind and solar,TRUE,12.07,13.83,2.13,21.43,1.77,9.94,
Türkiye,TUR,FALSE,2019,Solar,FALSE,6,6.69,0.94,18.58,0.89,5.06,
Türkiye,TUR,FALSE,2019,Wind,FALSE,7.59,8.46,0.58,8.27,0.43,7.01,
Türkiye,TUR,FALSE,2019,Wind and solar,TRUE,13.59,15.15,1.52,12.59,1.31,12.07,
Türkiye,TUR,FALSE,2020,Solar,FALSE,6.67,7.06,0.67,11.17,0.38,6,
Türkiye,TUR,FALSE,2020,Wind,FALSE,8.83,9.35,1.24,16.34,0.89,7.59,
Türkiye,TUR,FALSE,2020,Wind and solar,TRUE,15.5,16.41,1.91,14.05,1.27,13.59,
Türkiye,TUR,FALSE,2021,Solar,FALSE,7.82,7.93,1.15,17.24,0.86,6.67,
Türkiye,TUR,FALSE,2021,Wind,FALSE,10.61,10.76,1.78,20.16,1.41,8.83,
Türkiye,TUR,FALSE,2021,Wind and solar,TRUE,18.43,18.68,2.93,18.9,2.27,15.5,
Türkiye,TUR,FALSE,2022,Solar,FALSE,9.43,9.17,1.61,20.59,1.25,7.82,
Türkiye,TUR,FALSE,2022,Wind,FALSE,11.4,11.09,0.79,7.45,0.34,10.61,
Türkiye,TUR,FALSE,2022,Wind and solar,TRUE,20.83,20.26,2.4,13.02,1.58,18.43,
Türkiye,TUR,FALSE,2023,Solar,FALSE,15.61,14.2,6.18,65.54,5.03,9.43,
Türkiye,TUR,FALSE,2023,Wind,FALSE,11.81,10.74,0.41,3.6,-0.35,11.4,
Türkiye,TUR,FALSE,2023,Wind and solar,TRUE,27.42,24.95,6.59,31.64,4.68,20.83,
Türkiye,TUR,FALSE,2024,Solar,FALSE,20.23,17.46,4.62,29.6,3.26,15.61,
Türkiye,TUR,FALSE,2024,Wind,FALSE,12.87,11.11,1.06,8.98,0.36,11.81,
Türkiye,TUR,FALSE,2024,Wind and solar,TRUE,33.1,28.56,5.68,20.71,3.62,27.42,
Türkiye,TUR,FALSE,2025,Solar,FALSE,25.47,20.7,5.24,25.9,3.24,20.23,
Türkiye,TUR,FALSE,2025,Wind,FALSE,14.78,12.01,1.91,14.84,0.9,12.87,
Türkiye,TUR,FALSE,2025,Wind and solar,TRUE,40.25,32.7,7.15,21.6,4.14,33.1,
