entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
Türkiye,TUR,FALSE,2000,Bioenergy,FALSE,0.17,0.14,2.6,0.04,30.77,0.02,0.58
Türkiye,TUR,FALSE,2000,Coal,FALSE,38.19,30.7,583.71,1.16,3.13,-1.1,10.42
Türkiye,TUR,FALSE,2000,Gas,FALSE,46.54,37.42,711.34,10.12,27.79,6.14,147.49
Türkiye,TUR,FALSE,2000,Hydro,FALSE,30.88,24.83,471.98,-3.8,-10.96,-4.96,-64.92
Türkiye,TUR,FALSE,2000,Nuclear,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2000,Other fossil,FALSE,8.49,6.83,129.76,0.41,5.07,-0.11,4.67
Türkiye,TUR,FALSE,2000,Other renewables,FALSE,0.08,0.06,1.22,0,0,0,-0.02
Türkiye,TUR,FALSE,2000,Solar,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2000,Total generation,TRUE,124.38,100,1901.08,7.94,6.82,0,98.38
Türkiye,TUR,FALSE,2000,Wind,FALSE,0.03,0.02,0.46,0.01,50,0.01,0.15
Türkiye,TUR,FALSE,2001,Bioenergy,FALSE,0.18,0.15,2.72,0.01,5.88,0.01,0.12
Türkiye,TUR,FALSE,2001,Coal,FALSE,38.42,31.43,579.97,0.23,0.6,0.73,-3.75
Türkiye,TUR,FALSE,2001,Gas,FALSE,49.71,40.67,750.4,3.17,6.81,3.25,39.06
Türkiye,TUR,FALSE,2001,Hydro,FALSE,24.01,19.64,362.44,-6.87,-22.25,-5.18,-109.54
Türkiye,TUR,FALSE,2001,Nuclear,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2001,Other fossil,FALSE,9.77,7.99,147.48,1.28,15.08,1.17,17.72
Türkiye,TUR,FALSE,2001,Other renewables,FALSE,0.09,0.07,1.36,0.01,12.5,0.01,0.14
Türkiye,TUR,FALSE,2001,Solar,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2001,Total generation,TRUE,122.24,100,1845.27,-2.14,-1.72,0,-55.81
Türkiye,TUR,FALSE,2001,Wind,FALSE,0.06,0.05,0.91,0.03,100,0.02,0.45
Türkiye,TUR,FALSE,2002,Bioenergy,FALSE,0.13,0.1,1.94,-0.05,-27.78,-0.05,-0.78
Türkiye,TUR,FALSE,2002,Coal,FALSE,32.15,25.03,479.5,-6.27,-16.32,-6.4,-100.47
Türkiye,TUR,FALSE,2002,Gas,FALSE,52.53,40.89,783.46,2.82,5.67,0.23,33.06
Türkiye,TUR,FALSE,2002,Hydro,FALSE,33.68,26.22,502.32,9.67,40.28,6.58,139.88
Türkiye,TUR,FALSE,2002,Nuclear,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2002,Other fossil,FALSE,9.82,7.64,146.46,0.05,0.51,-0.35,-1.02
Türkiye,TUR,FALSE,2002,Other renewables,FALSE,0.1,0.08,1.49,0.01,11.11,0,0.13
Türkiye,TUR,FALSE,2002,Solar,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2002,Total generation,TRUE,128.46,100,1915.92,6.22,5.09,0,70.65
Türkiye,TUR,FALSE,2002,Wind,FALSE,0.05,0.04,0.75,-0.01,-16.67,-0.01,-0.16
Türkiye,TUR,FALSE,2003,Bioenergy,FALSE,0.08,0.06,1.18,-0.05,-38.46,-0.04,-0.76
Türkiye,TUR,FALSE,2003,Coal,FALSE,32.25,23.11,475.44,0.1,0.31,-1.92,-4.06
Türkiye,TUR,FALSE,2003,Gas,FALSE,63.54,45.54,936.73,11.01,20.96,4.64,153.27
Türkiye,TUR,FALSE,2003,Hydro,FALSE,35.33,25.32,520.85,1.65,4.9,-0.9,18.53
Türkiye,TUR,FALSE,2003,Nuclear,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2003,Other fossil,FALSE,8.19,5.87,120.74,-1.63,-16.6,-1.78,-25.72
Türkiye,TUR,FALSE,2003,Other renewables,FALSE,0.09,0.06,1.33,-0.01,-10,-0.01,-0.16
Türkiye,TUR,FALSE,2003,Solar,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2003,Total generation,TRUE,139.54,100,2057.15,11.08,8.62,0,141.23
Türkiye,TUR,FALSE,2003,Wind,FALSE,0.06,0.04,0.88,0.01,20,0,0.14
Türkiye,TUR,FALSE,2004,Bioenergy,FALSE,0.08,0.05,1.17,0,0,0,-0.01
Türkiye,TUR,FALSE,2004,Coal,FALSE,34.45,23,502.24,2.2,6.82,-0.11,26.8
Türkiye,TUR,FALSE,2004,Gas,FALSE,62.27,41.58,907.82,-1.27,-2,-3.95,-28.91
Türkiye,TUR,FALSE,2004,Hydro,FALSE,46.08,30.77,671.79,10.75,30.43,5.45,150.94
Türkiye,TUR,FALSE,2004,Nuclear,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2004,Other fossil,FALSE,6.72,4.49,97.97,-1.47,-17.95,-1.38,-22.77
Türkiye,TUR,FALSE,2004,Other renewables,FALSE,0.09,0.06,1.31,0,0,0,-0.02
Türkiye,TUR,FALSE,2004,Solar,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2004,Total generation,TRUE,149.75,100,2183.18,10.21,7.32,0,126.03
Türkiye,TUR,FALSE,2004,Wind,FALSE,0.06,0.04,0.88,0,0,0,-0.01
Türkiye,TUR,FALSE,2005,Bioenergy,FALSE,0.03,0.02,0.43,-0.05,-62.5,-0.03,-0.73
Türkiye,TUR,FALSE,2005,Coal,FALSE,43.2,26.73,623.11,8.75,25.4,3.72,120.87
Türkiye,TUR,FALSE,2005,Gas,FALSE,73.48,45.46,1059.86,11.21,18,3.88,152.04
Türkiye,TUR,FALSE,2005,Hydro,FALSE,39.56,24.48,570.61,-6.52,-14.15,-6.3,-101.18
Türkiye,TUR,FALSE,2005,Nuclear,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2005,Other fossil,FALSE,5.21,3.22,75.15,-1.51,-22.47,-1.26,-22.82
Türkiye,TUR,FALSE,2005,Other renewables,FALSE,0.09,0.06,1.3,0,0,0,-0.01
Türkiye,TUR,FALSE,2005,Solar,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2005,Total generation,TRUE,161.63,100,2331.33,11.88,7.93,0,148.15
Türkiye,TUR,FALSE,2005,Wind,FALSE,0.06,0.04,0.86,0,0,0,-0.01
Türkiye,TUR,FALSE,2006,Bioenergy,FALSE,0.06,0.03,0.86,0.03,100,0.02,0.42
Türkiye,TUR,FALSE,2006,Coal,FALSE,46.65,26.47,666,3.45,7.99,-0.26,42.89
Türkiye,TUR,FALSE,2006,Gas,FALSE,80.69,45.78,1151.97,7.21,9.81,0.32,92.1
Türkiye,TUR,FALSE,2006,Hydro,FALSE,44.24,25.1,631.59,4.68,11.83,0.62,60.98
Türkiye,TUR,FALSE,2006,Nuclear,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2006,Other fossil,FALSE,4.39,2.49,62.67,-0.82,-15.74,-0.73,-12.47
Türkiye,TUR,FALSE,2006,Other renewables,FALSE,0.09,0.05,1.28,0,0,0,-0.01
Türkiye,TUR,FALSE,2006,Solar,FALSE,0,0,0,0,,0,0
Türkiye,TUR,FALSE,2006,Total generation,TRUE,176.25,100,2516.22,14.62,9.04,0,184.9
Türkiye,TUR,FALSE,2006,Wind,FALSE,0.13,0.07,1.86,0.07,116.67,0.04,0.99
Türkiye,TUR,FALSE,2007,Bioenergy,FALSE,0.09,0.05,1.27,0.03,50,0.01,0.42
Türkiye,TUR,FALSE,2007,Coal,FALSE,53.43,27.9,755.19,6.78,14.53,1.43,89.19
Türkiye,TUR,FALSE,2007,Gas,FALSE,95.03,49.62,1343.17,14.34,17.77,3.84,191.2
Türkiye,TUR,FALSE,2007,Hydro,FALSE,35.85,18.72,506.71,-8.39,-18.96,-6.38,-124.88
