raw_04_europe_renewables_share
Area;ISO 3 code;Year;Area type;Electricity source;Is aggregated source;Generation (TWh);Generation YoY change (TWh);Generation YoY change (%);Share of generation (%);Share of generation YoY change (% points);Emissions (MtCO2e);Emissions YoY change (MtCO2e);Emissions YoY change (%);Share of emissions (%);Emissions intensity (gCO2e/kWh);Continent;Ember region;EU member;OECD member;G20 member;G7 member;ASEAN member
Austria;AUT;1990;Country or economy;Solar;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Onshore wind;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Hydro;FALSE;31.51;;;63.954;;749;;;6.083;23.77;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Bioenergy;FALSE;1.13;;;2.293;;244;;;1.981;215.929;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Other renewables;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Nuclear;FALSE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Lignite;FALSE;2.38;;;4.831;;2.417;;;19.628;1015.546;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Gas;FALSE;7.72;;;15.669;;3.453;;;28.041;447.28;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Other fossil;FALSE;2.72;;;5.521;;1.79;;;14.536;658.088;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Net imports;FALSE;-0.46;;;-934;;0.0;;;0.0;0.0;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Wind;TRUE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Coal;TRUE;6.19;;;12.563;;6.078;;;49.359;981.906;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
Austria;AUT;1990;Country or economy;Wind and solar;TRUE;0.0;;;0.0;;0.0;;;0.0;;Europe;Europe;TRUE;TRUE;FALSE;FALSE;FALSE
