entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
Germany,DEU,FALSE,2025,Solar,FALSE,89.62,17.93,1065.95,15.49,20.9,2.98,189.22
Germany,DEU,FALSE,2025,Wind,FALSE,136.03,27.21,1617.96,-5.57,-3.93,-1.34,-56.75
Germany,DEU,FALSE,2025,Wind and solar,TRUE,225.65,45.14,2683.91,9.92,4.6,1.64,132.47
Greece,GRC,FALSE,2025,Solar,FALSE,11.46,19.79,1153.05,0.2,1.78,0.06,32.41
Greece,GRC,FALSE,2025,Wind,FALSE,12.08,20.86,1215.43,-0.47,-3.74,-1.13,-33.6
Greece,GRC,FALSE,2025,Wind and solar,TRUE,23.54,40.64,2368.49,-0.27,-1.13,-1.07,-1.19
Ireland,IRL,FALSE,2025,Solar,FALSE,1.49,4.81,280.71,0.4,36.7,1.3,73.28
Ireland,IRL,FALSE,2025,Wind,FALSE,11.76,37.95,2215.51,0.16,1.38,0.63,8.09
Ireland,IRL,FALSE,2025,Wind and solar,TRUE,13.25,42.76,2496.21,0.56,4.41,1.93,81.38
Spain,ESP,FALSE,2025,Solar,FALSE,62.92,21.85,1313.84,4.63,7.94,1.1,97.2
Spain,ESP,FALSE,2025,Wind,FALSE,58.76,20.41,1226.98,-3.44,-5.53,-1.73,-71.28
Spain,ESP,FALSE,2025,Wind and solar,TRUE,121.68,42.26,2540.82,1.19,0.99,-0.63,25.92
Türkiye,TUR,FALSE,2025,Solar,FALSE,37.25,10.53,424.81,11.58,45.11,3,131.35
Türkiye,TUR,FALSE,2025,Wind,FALSE,39.42,11.14,449.56,2.89,7.91,0.44,31.95
Türkiye,TUR,FALSE,2025,Wind and solar,TRUE,76.67,21.67,874.38,14.47,23.26,3.44,163.31
Italy,ITA,FALSE,2025,Solar,FALSE,44.63,16.84,754.57,8.64,24.01,3.39,148.1
Italy,ITA,FALSE,2025,Wind,FALSE,21.48,8.11,363.17,-0.74,-3.33,-0.2,-11.27
Italy,ITA,FALSE,2025,Wind and solar,TRUE,66.11,24.95,1117.74,7.9,13.57,3.2,136.83
Hungary,HUN,FALSE,2025,Solar,FALSE,10.98,27.29,1139.92,1.78,19.35,3.08,189.12
Hungary,HUN,FALSE,2025,Wind,FALSE,0.6,1.49,62.29,-0.09,-13.04,-0.32,-9.02
Hungary,HUN,FALSE,2025,Wind and solar,TRUE,11.58,28.78,1202.21,1.69,17.09,2.75,180.1
Poland,POL,FALSE,2025,Solar,FALSE,19.55,11.33,512.57,1.89,10.7,1.07,54.34
Poland,POL,FALSE,2025,Wind,FALSE,23.98,13.9,628.72,-1.91,-7.38,-1.15,-43.06
Poland,POL,FALSE,2025,Wind and solar,TRUE,43.53,25.22,1141.3,-0.02,-0.05,-0.08,11.28
Romania,ROU,FALSE,2025,Solar,FALSE,4.87,9.78,257.55,1.45,42.4,3.3,77.7
Romania,ROU,FALSE,2025,Wind,FALSE,5.97,11.99,315.73,-0.46,-7.15,-0.2,-22.42
Romania,ROU,FALSE,2025,Wind and solar,TRUE,10.84,21.78,573.28,0.99,10.05,3.09,55.27
Bulgaria,BGR,FALSE,2025,Solar,FALSE,6.91,18.19,1029.11,1.42,25.86,3.86,216.7
Bulgaria,BGR,FALSE,2025,Wind,FALSE,1.32,3.48,196.59,-0.14,-9.59,-0.34,-19.46
Bulgaria,BGR,FALSE,2025,Wind and solar,TRUE,8.23,21.67,1225.7,1.28,18.42,3.52,197.24
Egypt,EGY,FALSE,2025,Solar,FALSE,7.61,3.1,64.29,1.54,25.37,0.54,12.21
Egypt,EGY,FALSE,2025,Wind,FALSE,9.3,3.78,78.57,3.16,51.47,1.2,25.88
Egypt,EGY,FALSE,2025,Wind and solar,TRUE,16.91,6.88,142.86,4.7,38.49,1.74,38.09
Israel,ISR,FALSE,2025,Solar,FALSE,13.28,16.18,1395.37,2.76,26.24,3.09,274.68
Israel,ISR,FALSE,2025,Wind,FALSE,0.46,0.56,48.33,0,0,-0.01,-0.67
Israel,ISR,FALSE,2025,Wind and solar,TRUE,13.74,16.74,1443.7,2.76,25.14,3.08,274
Iran,IRN,FALSE,2025,Solar,FALSE,0.9,0.23,9.74,0,0,0,-0.09
Iran,IRN,FALSE,2025,Wind,FALSE,1.25,0.31,13.53,0,0,0,-0.12
Iran,IRN,FALSE,2025,Wind and solar,TRUE,2.15,0.54,23.26,0,0,0,-0.22
Netherlands,NLD,FALSE,2025,Solar,FALSE,28.5,21.12,1553.4,6.68,30.61,3.28,356.39
Netherlands,NLD,FALSE,2025,Wind,FALSE,33.7,24.97,1836.83,0.22,0.66,-2.4,0.17
Netherlands,NLD,FALSE,2025,Wind and solar,TRUE,62.2,46.09,3390.24,6.9,12.48,0.88,356.56
United Kingdom,GBR,FALSE,2025,Solar,FALSE,19.32,6.61,277.78,4.53,30.63,1.4,63.86
United Kingdom,GBR,FALSE,2025,Wind,FALSE,85.94,29.39,1235.64,2.66,3.19,0.08,31.09
