raw_06_battery_storage_pipeline
Table 1,,,,
Country,Operational Capacity (GW),Project Pipeline (GW),Total Battery Capacity (GW),Battery to Wind and Solar Ratio (%)
Türkiye,0.1,33.0,33.1,%82.2
Germany,2.7,10.6,13.3,%11.9
Italy,1.9,10.3,12.1,%51.5
Poland,~0.0,10.4,10.4,%51.8
Romania,0.4,4.7,5.1,%88.7
Spain,0.2,4.1,4.3,%5.9
Netherlands,0.3,3.2,3.5,%18.2
Belgium,0.3,2.9,3.3,%52.9
Ireland,0.8,1.8,2.6,%44.0
Sweden,0.7,1.6,2.3,%12.2
Greece,0.0,2.1,2.1,%0.0
Portugal,0.0,1.7,1.7,%17.5
Bulgaria,0.5,1.1,1.6,%38.6
Finland,0.3,1.0,1.3,%14.5
France,0.4,0.6,1.0,%2.6
Lithuania,0.1,0.8,0.9,%31.7
